city,zone,zone_type,locality
Amritsar,Amritsar,ZONE,Nawanpind
Amritsar,Amritsar,ZONE,Manawala Kalan
Ranchi,Ranchi,ZONE,Sannavilli
North Goa,North Goa,ZONE,Sanquelim
Guntur,Guntur,ZONE,Donepudi
Erode,Erode,ZONE,Guthialathur
Erode,Erode,ZONE,Kandikattuvalasu
Hooghly,Hooghly,ZONE,Mainan
Erode,Erode,ZONE,Punganthurai
Warangal,Warangal,ZONE,Gummadavalli
Kozhikode,Kozhikode,ZONE,Chevarambalam
Kozhikode,Kozhikode,ZONE,Makkada
Indore,Vijaynagar,ZONE,Lasudia
Chittoor,Chittoor,ZONE,Mamanduru
Chittoor,Chittoor,ZONE,S.V.Arts College
Tiruchirappalli,Tiruchirappalli,ZONE,Tiruchirappalli Townhall
Thane,Vasai,ZONE,Vasai West
Bhubaneswar,Bhubaneswar,ZONE,Budheswari Colony
Lucknow,Ashiyana,ZONE,Dayalpur
Lucknow,Ashiyana,ZONE,Mohanlalganj
Meerut,Sadar Bazaar,ZONE,Kanker Khera
Hooghly,Hooghly,ZONE,Saora
Hooghly,Hooghly,ZONE,Jangalapara
Chittoor,Chittoor,ZONE,Chittoor North
Erode,Erode,ZONE,Dalavaipettai
Erode,Erode,ZONE,Uppupalayam
Erode,Erode,ZONE,Ikkaraithathapalli
Allahabad,Allahabad,ZONE,Purwa Khas
Chandigarh,Sector 20,ZONE,Sector-10
Kanpur,Kakadeo,ZONE,Naveen Nagar
Manila,Manila Region,ZONE,Port Area
Kolkata,Tollygunge,ZONE,Pgh Shah Road
Lucknow,Ashiyana,ZONE,Sujanpura
Guntur,Guntur,ZONE,A F Station
Amritsar,Amritsar,ZONE,Gomanpura
North Goa,North Goa,ZONE,Bastora
Bilaspur,Bilaspur,ZONE,Sakarra
Meerut,Shastri Nagar,ZONE,Meerut University
Chittoor,Chittoor,ZONE,Vanadurgapurambo
Gurgaon,Sector43,ZONE,Gurgaon Sector 57
Vadodara,Raopura,ZONE,Industrial Estate
Vadodara,Raopura,ZONE,Makarpura
Faridabad,Faridabad,ZONE,Chhainsa
Nellore,Nellore,ZONE,Virur
Jakarta,Setiabudi/Tebet/Kuningan,ZONE,Duren Tiga
Jakarta,Setiabudi/Tebet/Kuningan,ZONE,Kalibata
Tangerang,Tangerang,ZONE,Kresek
Hooghly,Hooghly,ZONE,Serampore Court
Hooghly,Hooghly,ZONE,Narayanpur
Indore,Old Indore,ZONE,Rajwada
Guntur,Guntur,ZONE,Gandhi Chowk
Salem,Salem,ZONE,Pakkanadu
Hooghly,Hooghly,ZONE,Rosna
South Goa,South Goa,ZONE,Sigao
Singapore,Little India,ZONE,Little India
North Goa,North Goa,ZONE,Darbandora
Mysore,Mysore,ZONE,Muguru
Mysore,Mysore,ZONE,Thumbala
Nellore,Nellore,ZONE,Anemadugu
Erode,Erode,ZONE,Thingalur
Madurai,Madurai,ZONE,Arumbanur
Jakarta,Kramat Jati/Pasar Rebo,ZONE,Pasar Rebo
Kozhikode,Kozhikode,ZONE,Thachampoyil
Thiruvananthapuram,Thiruvananthapuram,ZONE,Poozhanad
Nellore,Nellore,ZONE,Lakshmipuram
Nellore,Nellore,ZONE,Kalichedu
Tiruchirappalli,Tiruchirappalli,ZONE,Maniyankurichi
Nashik,Panchavati,ZONE,Meri Colony
Warangal,Warangal,ZONE,Tatikayala
Tiruchirappalli,Tiruchirappalli,ZONE,Venkatachalapuram
Chittoor,Chittoor,ZONE,Madhavaram
Aurangabad (BH),Aurangabad (BH),ZONE,Dihuri Ekauni
Kakinada,Kakinada,ZONE,Suryaraopeta
Salem,Salem,ZONE,Olakkachinnanur
Salem,Salem,ZONE,Karuppureddiyur
Vadodara,Waghodia Road,ZONE,Waghodia
Quezon City,Quezon Region,ZONE,Paltok
Quezon City,Quezon Region,ZONE,San Jose
Quezon City,Quezon Region,ZONE,U.P. Village
Anantapur,Anantapur,ZONE,Tadipatri
Mohali,Mohali,ZONE,Sector 65
Salem,Salem,ZONE,Ulipuram
Coimbatore,Race Course,ZONE,Chinnavedampatti
Salem,Salem,ZONE,P.S.Padi
Guntur,Guntur,ZONE,Velpuru
Thiruvananthapuram,Thiruvananthapuram,ZONE,Ponganadu
Nellore,Nellore,ZONE,Bijjampalle
Aurangabad,Aurangabad,ZONE,Ektuni
Ernakulam,Kakkanad,ZONE,Elavoor
Aurangabad,Aurangabad,ZONE,Babra
Aurangabad,Aurangabad,ZONE,Ghatnanadra
Warangal,Warangal,ZONE,Dhulmitta
Warangal,Warangal,ZONE,Cherupalli
Kottayam,Kottayam,ZONE,Pallickachirakavala
Allahabad,Allahabad,ZONE,Bahadurgarh Arwasi
Allahabad,Allahabad,ZONE,Prem Nagar Chauraha
Tiruchirappalli,Tiruchirappalli,ZONE,Sathamangalam
Aurangabad,Aurangabad,ZONE,Ladgaon
Warangal,Warangal,ZONE,Azamnagar
Tiruchirappalli,Tiruchirappalli,ZONE,Salainagar
Mysore,Mysore,ZONE,Byadarahalli
Kolkata,Bhowanipore,ZONE,Lansdowne Market
Surat,Athawa,ZONE,Udhna
Ludhiana,Ludhiana Zone 1,ZONE,Tagore Nagar E-block
Bhubaneswar,Bhubaneswar,ZONE,Bhakarsahi
Amritsar,Amritsar,ZONE,Dulonangal
Dantewada,Dantewada,ZONE,Kodripal
Guntur,Guntur,ZONE,Anaparru
Erode,Erode,ZONE,Puduvadavalli
Kannur,Kannur,ZONE,Kiliyanthara
Tirunelveli,Tirunelveli,ZONE,Alkondarkulam
Warangal,Warangal,ZONE,Mungalveedu
Madurai,Madurai,ZONE,Villapuram
Guwahati,Guwahati,ZONE,Patharquerry
Chittoor,Chittoor,ZONE,Kalavagunta
Kanpur,Swaroop Nagar,ZONE,Dhankutti
Bilaspur,Bilaspur,ZONE,Aramsahi
Amritsar,Amritsar,ZONE,Makhi Kalan
São Paulo,Jabaquara,ZONE,Jabaquara
Ludhiana,Ludhiana Zone 3,ZONE,Feroz Gandhi Market
Visakhapatnam,MVP,ZONE,Madhurawada
Salem,Salem,ZONE,Idappadi Bazaar
East Khasi Hills,Shillong-East Khasi Hills,ZONE,Sumer
Ernakulam,Kakkanad,ZONE,Manjapra
Mysore,Mysore,ZONE,Periyapatna
Kannur,Kannur,ZONE,Varam
Kannur,Kannur,ZONE,Thuvakunnu
Aurangabad,Aurangabad,ZONE,Sidhanath Wadgaon
Aurangabad,Aurangabad,ZONE,Umarkheda
Nellore,Nellore,ZONE,Gundemadakala
Tirunelveli,Tirunelveli,ZONE,Kavaakurichi
Aurangabad (BH),Aurangabad (BH),ZONE,Khudwan
Chennai,Chennai South 2,ZONE,Teynampet
Chennai,Chennai Central East,ZONE,Pammal
Erode,Erode,ZONE,Olapalayam
Nellore,Nellore,ZONE,Kommaneturu
Salem,Salem,ZONE,K.Morur
Salem,Salem,ZONE,Pottipuram
Salem,Salem,ZONE,Alagapuram
Faridabad,Faridabad,ZONE,Sector 50
Hooghly,Hooghly,ZONE,Lakshmandur
Mohali,Mohali,ZONE,Sector- 77
Ahmedabad,Paldi,ZONE,Navrangpura
Hooghly,Hooghly,ZONE,Bachhanari
Jaipur,Vaishali Nagar,ZONE,Jaisinghpura
Hooghly,Hooghly,ZONE,Golta
Jaipur,Malviya Nagar,ZONE,Malviya Industrial Area
Guntur,Guntur,ZONE,Pasarlapadu
Erode,Erode,ZONE,Kurichi-kunnathur
Karur,Karur,ZONE,Sellivalasu
Nashik,Mumbai Naka,ZONE,Gaikwad Nagar
Hooghly,Hooghly,ZONE,Antpur
Singapore,Tampines,ZONE,Bedok North
Singapore,Tampines,ZONE,Katong
Coimbatore,Race Course,ZONE,Nanjundapuram
Faridabad,Faridabad,ZONE,State Bank of Patiala Sector-11
Puducherry,Puducherry,ZONE,Vaithikuppam
Kottayam,Kottayam,ZONE,Puliyannoor
Thiruvananthapuram,Thiruvananthapuram,ZONE,Venkadambu
Thrissur,Thrissur,ZONE,Thirumukkulam
Thrissur,Thrissur,ZONE,Kattakampal
Quezon City,Quezon Region,ZONE,Teachers' Village West
Pune,Vishrantwadi,ZONE,Alandi Road
Panchkula,Panchkula,ZONE,Sector-6
Nagpur,Sadar,ZONE,Borgaon Road
Nashik,Gangapur Road,ZONE,H P T College
Warangal,Warangal,ZONE,Govardanagiri
Warangal,Warangal,ZONE,Narasimlaguda
Guntur,Guntur,ZONE,Chowdavaram
Erode,Erode,ZONE,Kanagapuram
Erode,Erode,ZONE,Kannadipalayam
Madurai,Madurai,ZONE,Othakoilpatti
Madurai,Madurai,ZONE,Alappalacheri
Madurai,Madurai,ZONE,Avalsurampatti
Nashik,Gangapur Road,ZONE,Sanjeev Nagar
Hooghly,Hooghly,ZONE,Hati
North 24 Parganas,North 24 Parganas,ZONE,Amodpur
Chittoor,Chittoor,ZONE,Narasimhapuram
Chittoor,Chittoor,ZONE,Narigapalle
Aurangabad (BH),Aurangabad (BH),ZONE,Akoona
Allahabad,Allahabad,ZONE,Leelapur Kala
Rajahmundry,Rajahmundry,ZONE,Torredu
Delhi,Greater kailash,ZONE,East Of Kailash
Kottayam,Kottayam,ZONE,Chirakadavu Centre
Cavite,Cavite,ZONE,Carmona
Kottayam,Kottayam,ZONE,Kooropada
Kottayam,Kottayam,ZONE,Kothala
Ernakulam,Panampilly Nagar,ZONE,Kumbalangi South
Kottayam,Kottayam,ZONE,Thirumani Venkita Puram
Aurangabad,Aurangabad,ZONE,Gawali Shivra
Aurangabad,Aurangabad,ZONE,Ghodegaon
Aurangabad,Aurangabad,ZONE,Raghunath Nagar
Hyderabad,Kukatpally,ZONE,Nallagandla
Tirunelveli,Tirunelveli,ZONE,Panankulam
Bangalore,shivajinagar + MG Road,ZONE,Residency Road
Warangal,Warangal,ZONE,Katrepalli
Chittoor,Chittoor,ZONE,Nandimangalam
Nellore,Nellore,ZONE,Bandepalli
Nellore,Nellore,ZONE,Menakur
East Khasi Hills,Shillong-East Khasi Hills,ZONE,Lynshing
Warangal,Warangal,ZONE,Nallela
Warangal,Warangal,ZONE,Jeedikal
Pune,Vishrantwadi,ZONE,Vishrantwadi
Bilaspur,Bilaspur,ZONE,Puchheli
Puducherry,Puducherry,ZONE,Vimacoundinpaleam
Amritsar,Amritsar,ZONE,District Court
Guntur,Guntur,ZONE,Annavaram
Guntur,Guntur,ZONE,Petlurivaripalem
Coimbatore,Sai Baba Colony,ZONE,Saibaba Colony
Warangal,Warangal,ZONE,Ammapur
Chittoor,Chittoor,ZONE,Thuvvapalle
Allahabad,Allahabad,ZONE,Karpia
Chittoor,Chittoor,ZONE,Ustikayalapenta
North 24 Parganas,North 24 Parganas,ZONE,Atghara
North 24 Parganas,North 24 Parganas,ZONE,Barunhat
Quezon City,Quezon Region,ZONE,San Isidro Labrador
South Goa,South Goa,ZONE,Morpirla
Kozhikode,Kozhikode,ZONE,Edakkad - West Hill
Kozhikode,Kozhikode,ZONE,Kannan Kara
North Goa,North Goa,ZONE,Poroscodem
Erode,Erode,ZONE,Surampatti
Hyderabad,Lb nagar,ZONE,Karmanghat
Madurai,Madurai,ZONE,Kalvelipatti
Salem,Salem,ZONE,Kunnur
Tangerang,Tangerang,ZONE,Selapajang Jaya
North 24 Parganas,North 24 Parganas,ZONE,Hatthuba
Pune,Karve nagar,ZONE,Karve Nagar
Ranchi,Ranchi,ZONE,Hussir
East Khasi Hills,Shillong-East Khasi Hills,ZONE,Wahlong
Ernakulam,Kakkanad,ZONE,Kunnackal
Karur,Karur,ZONE,Manjapulipatti
North 24 Parganas,North 24 Parganas,ZONE,Jadurhati
Allahabad,Allahabad,ZONE,Noorpur
Indore,Palasia,ZONE,Tilak Nagar
Patna,Raja Bazar,ZONE,Parthu
Tirunelveli,Tirunelveli,ZONE,Senthattiapuram
Kanpur,Kakadeo,ZONE,Vijai Nagar
Lucknow,Hazratganj,ZONE,Raitha
Amritsar,Amritsar,ZONE,Kallah
Ludhiana,Ludhiana Zone 1,ZONE,Vivek Nagar
Ranchi,Ranchi,ZONE,Saparom
Mysore,Mysore,ZONE,Bhuvanahalli
Ernakulam,Tripunithura,ZONE,Ezhakkaranadu South
Kannur,Kannur,ZONE,Anchampeedika
Delhi,Model town,ZONE,Ashok Vihar Phase 3
Guntur,Guntur,ZONE,Rajupalem
Jaipur,C Scheme,ZONE,Rajasthan Secretariate
Erode,Erode,ZONE,Kalkadambur
Karur,Karur,ZONE,Modakkur
Karur,Karur,ZONE,L.N.Samudram
Salem,Salem,ZONE,Rangampalayam
Quezon City,Quezon Region,ZONE,Kamuning
Mumbai,Thane,ZONE,Palghar
Gurgaon,Manesar,ZONE,Gurgaon Sector 36A
South Goa,South Goa,ZONE,Collem
South Goa,South Goa,ZONE,Davorlim
Hyderabad,Kukatpally,ZONE,Pragathi Nagar
Thrissur,Thrissur,ZONE,Nettissery
Aurangabad,Aurangabad,ZONE,Golegaon
Tiruchirappalli,Tiruchirappalli,ZONE,K.Sathanur
Ranchi,Ranchi,ZONE,Ncdc
Kannur,Kannur,ZONE,Kanul
Allahabad,Allahabad,ZONE,Pasna
Allahabad,Allahabad,ZONE,Tigza
Kozhikode,Kozhikode,ZONE,Farook College
Thrissur,Thrissur,ZONE,Kaduppassery
Bhopal,East Bhopal,ZONE,Shiksha Mandal
Dantewada,Dantewada,ZONE,Karli
Tiruchirappalli,Tiruchirappalli,ZONE,Alagiamanavalam
Guntur,Guntur,ZONE,Pedapudi
Guntur,Guntur,ZONE,Hanumanpalem
Jaipur,Vaishali Nagar,ZONE,Sirsi
Madurai,Madurai,ZONE,Karadikal
North 24 Parganas,North 24 Parganas,ZONE,Rohanda
Erode,Erode,ZONE,Sankarandampalayam
Kannur,Kannur,ZONE,Palakkode
Kannur,Kannur,ZONE,Thadikadavu
Erode,Erode,ZONE,Sengodampalayam
Tangerang,Tangerang,ZONE,Kebon Cau
Guntur,Guntur,ZONE,Aremanda
Allahabad,Allahabad,ZONE,Mahgaon
Hyderabad,Lb nagar,ZONE,Champapet
Vadodara,Alkapuri,ZONE,Karodia
Mohali,Mohali,ZONE,Sector 62
Nellore,Nellore,ZONE,Nagulavellatur
Aurangabad,Aurangabad,ZONE,Shahnoorwadi
Panchkula,Panchkula,ZONE,Indira colony
Gurgaon,Sector43,ZONE,Gurgaon Sector 56
Puducherry,Puducherry,ZONE,Reddiyarpalayam
Puducherry,Puducherry,ZONE,Sedarapet
Chittoor,Chittoor,ZONE,Elakatur
Erode,Erode,ZONE,Modakurichi
Guntur,Guntur,ZONE,Kothapullareddipuram
Ranchi,Ranchi,ZONE,Kanke
Visakhapatnam,MVP,ZONE,MVP Colony
Kannur,Kannur,ZONE,Kayani
Karur,Karur,ZONE,Punnamchatram
Madurai,Madurai,ZONE,Urappanur
Jakarta,Setiabudi/Tebet/Kuningan,ZONE,Tegal Parang
Jaipur,Raja Park,ZONE,Khora Meena
North 24 Parganas,North 24 Parganas,ZONE,Charghat
Quezon City,Quezon Region,ZONE,Veterans Village
North 24 Parganas,North 24 Parganas,ZONE,Safirabad
Jakarta,Kelapa Gading,ZONE,Koja
Nashik,Mumbai Naka,ZONE,Ganesh Baba Nagar
Nashik,Nashik Road,ZONE,Gokul Nagar
North 24 Parganas,North 24 Parganas,ZONE,Banglani
North 24 Parganas,North 24 Parganas,ZONE,Bergoom
North 24 Parganas,North 24 Parganas,ZONE,Nutungram
Mumbai,Chembur,ZONE,Chembur East
South Goa,South Goa,ZONE,Velsao PSSK
Ahmedabad,Maninagar,ZONE,Jawahar Chowk
Taguig,Taguig Region,ZONE,Hagonoy
Ranchi,Ranchi,ZONE,Ashok Nagar
Guntur,Guntur,ZONE,Chejerla
South Goa,South Goa,ZONE,Ambaulim
Madurai,Madurai,ZONE,Viradhanur
Madurai,Madurai,ZONE,Virattipathu
Madurai,Madurai,ZONE,Kathakinaru
Kolkata,Santoshpur,ZONE,Sirity
North 24 Parganas,North 24 Parganas,ZONE,Malikagherai
Kannur,Kannur,ZONE,Mundayad
Ranchi,Ranchi,ZONE,"Pr.Secretary, Governor House"
Karur,Karur,ZONE,Muthanampalayam
Guntur,Guntur,ZONE,Murukondapadu
Kozhikode,Kozhikode,ZONE,Ayanikkad
Nellore,Nellore,ZONE,Srikolanu
Nellore,Nellore,ZONE,Minamanamudi
Nellore,Nellore,ZONE,Survepalli
Tirunelveli,Tirunelveli,ZONE,Kallidaikurichi
Warangal,Warangal,ZONE,Gopanpalli
Chittoor,Chittoor,ZONE,Oddepalle
Allahabad,Allahabad,ZONE,Kotwa
Bilaspur,Bilaspur,ZONE,Junapara
Bilaspur,Bilaspur,ZONE,Gopal Nagar
Nellore,Nellore,ZONE,Kothapalli Kovurgunta
South Goa,South Goa,ZONE,Mollem
Chennai,Chennai South East 1,ZONE,Perumbakkam
Salem,Salem,ZONE,Kachuppalli
Erode,Erode,ZONE,Chitravuthampalayam
Karur,Karur,ZONE,Puthur
Amritsar,Amritsar,ZONE,Ajaiwali
Thiruvananthapuram,Thiruvananthapuram,ZONE,Pullampara
Thrissur,Thrissur,ZONE,Chammannur
Salem,Salem,ZONE,Salem Dt.Board Buildings
Salem,Salem,ZONE,Tippampatti
Visakhapatnam,MVP,ZONE,Munchingput
Tiruchirappalli,Tiruchirappalli,ZONE,Ponmalaipatti
Warangal,Warangal,ZONE,Bandouthapur
Kozhikode,Kozhikode,ZONE,Chamal
Thiruvananthapuram,Thiruvananthapuram,ZONE,Mundela
Thiruvananthapuram,Thiruvananthapuram,ZONE,Pazhakutty
Ernakulam,Kakkanad,ZONE,Cheranallur
Kannur,Kannur,ZONE,Kannur District Hospital
Kannur,Kannur,ZONE,Chundakunnu
Patna,Rajendra Nagar,ZONE,Patna University
Aurangabad,Aurangabad,ZONE,Jarandi
Ranchi,Ranchi,ZONE,Marwa
Salem,Salem,ZONE,Poolavari Agraharam
Tangerang,Tangerang,ZONE,Kuta Baru
Vadodara,Alkapuri,ZONE,Padra
Bhubaneswar,Bhubaneswar,ZONE,Balipatna
Bhubaneswar,Bhubaneswar,ZONE,Laxminarayanpur
Warangal,Warangal,ZONE,Gundepudi
Jaipur,Raja Park,ZONE,Amer
Erode,Erode,ZONE,Velampundi
Ernakulam,Tripunithura,ZONE,Meempara
Chittoor,Chittoor,ZONE,Ctr Court Buildings
Lucknow,Aliganj,ZONE,Aliganj sector E
Allahabad,Allahabad,ZONE,Majhigaown
Allahabad,Allahabad,ZONE,Panduwa
Tangerang,Tangerang,ZONE,Tigaraksa
Manila,Manila Region,ZONE,Santa Mesa
Navi Mumbai,Nerul,ZONE,Nerul Node-II
Ghaziabad,Raj Nagar,ZONE,Nehru Nagar
Kanpur,Chunniganj,ZONE,Kanpur Cantt.
Amritsar,Amritsar,ZONE,Manakpura
Ranchi,Ranchi,ZONE,Tangar
Mangalore,Mangalore,ZONE,Surinje
Kozhikode,Kozhikode,ZONE,Edacheri North
Kozhikode,Kozhikode,ZONE,Karandode
Thiruvananthapuram,Thiruvananthapuram,ZONE,Kuttichal
Thrissur,Thrissur,ZONE,Nambazhikad
Nellore,Nellore,ZONE,Manulalpeta
Warangal,Warangal,ZONE,Bhudharaopet
Warangal,Warangal,ZONE,Gavicherla
Lucknow,Ashiyana,ZONE,Kasmandi Kalan
Hooghly,Hooghly,ZONE,Brahmanpara
Guntur,Guntur,ZONE,Katevaram
Madurai,Madurai,ZONE,Nallamaram
Madurai,Madurai,ZONE,Pappayapuram
Salem,Salem,ZONE,Moongilerichettipatti
Hooghly,Hooghly,ZONE,Dankuni Coal Complex
Hooghly,Hooghly,ZONE,Simla
Las Pinas,Las Pinas Region,ZONE,Barangay BF International
North 24 Parganas,North 24 Parganas,ZONE,Satbhaya
Jaipur,Transport Nagar,ZONE,Kanota
Madurai,Madurai,ZONE,Jothilnayakanur
Faridabad,Faridabad,ZONE,New Industrial Town
North 24 Parganas,North 24 Parganas,ZONE,Parghumti
Ahmedabad,Paldi,ZONE,Gujarat University
Jakarta,Cengkareng/Penjaringan/Kalideres,ZONE,Pluit
Faridabad,Faridabad,ZONE,Thomson Press
Kolkata,Dum dum,ZONE,New Town
Tangerang,Tangerang,ZONE,Bunisari
Kolkata,Dum dum,ZONE,Dumdum
Hooghly,Hooghly,ZONE,Pursurah
Thrissur,Thrissur,ZONE,Eyyal
Nashik,Nashik Road,ZONE,Panchak
Warangal,Warangal,ZONE,Vennaram
Warangal,Warangal,ZONE,Roheer
Tiruchirappalli,Tiruchirappalli,ZONE,Turaiyur Bus Stand
Tirunelveli,Tirunelveli,ZONE,Melasadayamankulam
Mumbai,Tardeo,ZONE,Breach Candy
Vadodara,Waghodia Road,ZONE,Chhani
Kozhikode,Kozhikode,ZONE,Puthiyangadi
Thiruvananthapuram,Thiruvananthapuram,ZONE,Bhagavathinada
Thiruvananthapuram,Thiruvananthapuram,ZONE,Manchavilakom
Thiruvananthapuram,Thiruvananthapuram,ZONE,Neyyattinkara Town
Warangal,Warangal,ZONE,Kannegundla
Tirunelveli,Tirunelveli,ZONE,Adaikalapttinam
Nashik,Gangapur Road,ZONE,Murari Nagar
Warangal,Warangal,ZONE,Ibrahimpur
Ernakulam,Kakkanad,ZONE,Rajagiri Valley
Ernakulam,Panampilly Nagar,ZONE,Mattancherry Town
Kannur,Kannur,ZONE,Muyyam
Kottayam,Kottayam,ZONE,Pallippurathussery
Thrissur,Thrissur,ZONE,Alapad
Thrissur,Thrissur,ZONE,Cholissery
Thrissur,Thrissur,ZONE,Kanimangalam
Kottayam,Kottayam,ZONE,Kaipuzha
Aurangabad,Aurangabad,ZONE,Andhaner
Tirunelveli,Tirunelveli,ZONE,Sembankulam
Bangalore,Marathahalli,ZONE,Varthur
Warangal,Warangal,ZONE,Nallakunta
Aurangabad (BH),Aurangabad (BH),ZONE,Naugarh
Thrissur,Thrissur,ZONE,Padoor
Nellore,Nellore,ZONE,Chigurupadu
Aurangabad,Aurangabad,ZONE,Mangrul
Kottayam,Kottayam,ZONE,Maravanthuruthu
Thiruvananthapuram,Thiruvananthapuram,ZONE,Kallayam
Nellore,Nellore,ZONE,Pantapalem
Nellore,Nellore,ZONE,Tikkavarapadu
Nellore,Nellore,ZONE,Palemkota
Tiruchirappalli,Tiruchirappalli,ZONE,Musiri
Warangal,Warangal,ZONE,Kothur
Lucknow,Ashiyana,ZONE,Singar Nagar
Aurangabad (BH),Aurangabad (BH),ZONE,Kashma
Bilaspur,Bilaspur,ZONE,Pandiyain
Amritsar,Amritsar,ZONE,Mud Khokhar
Amritsar,Amritsar,ZONE,Dadeha Sahib
Erode,Erode,ZONE,Sirukalanji
Aurangabad (BH),Aurangabad (BH),ZONE,Chiraili
Hyderabad,Lb nagar,ZONE,Santosh Nagar
Mumbai,Tardeo,ZONE,Gamdevi
Kozhikode,Kozhikode,ZONE,Kallurutty
Kozhikode,Kozhikode,ZONE,Kudathai
Chittoor,Chittoor,ZONE,Gollapalle
Hooghly,Hooghly,ZONE,Moktarpur
Hooghly,Hooghly,ZONE,Paniseola
Coimbatore,Gandhipuram,ZONE,Saravanampatti
Erode,Erode,ZONE,Swaminathapuram
Hyderabad,Trimulgherry,ZONE,Trimulgherry
Karur,Karur,ZONE,Vaiganallur
Vijayawada,Bhavanipuram,ZONE,Durgapuram
Salem,Salem,ZONE,Navakurichi
Tangerang,Tangerang,ZONE,Gempol Sari
Kolkata,Dum dum,ZONE,Kuthighat Road
Las Pinas,Las Pinas Region,ZONE,Cupang
Vadodara,Vasna Road,ZONE,Vasna
Singapore,Geylang,ZONE,Mountbatten
Ludhiana,Ludhiana Zone 3,ZONE,Jammu colony
Hooghly,Hooghly,ZONE,Kadra
Mangalore,Mangalore,ZONE,Montepadavu
Mangalore,Mangalore,ZONE,Nagori
Kottayam,Kottayam,ZONE,Kulathoorprayar
Jakarta,PuloGadung/Duren Sawit,ZONE,Malaka Jaya
Salem,Salem,ZONE,Kottavadi
Salem,Salem,ZONE,Nattamangalam
Kolkata,Bhowanipore,ZONE,Hastings
North 24 Parganas,North 24 Parganas,ZONE,Ghatpatila
Las Pinas,Las Pinas Region,ZONE,Buli
Las Pinas,Las Pinas Region,ZONE,Alabang
Allahabad,Allahabad,ZONE,Babuganj
Allahabad,Allahabad,ZONE,Siyadeeh
Chittoor,Chittoor,ZONE,Naniyala
Lucknow,Hazratganj,ZONE,Barawan Kalan
Guntur,Guntur,ZONE,Kogantivaripalem
Guntur,Guntur,ZONE,Dindi
Guntur,Guntur,ZONE,Latchannagudipudi
Tiruchirappalli,Tiruchirappalli,ZONE,Maradi
Bhubaneswar,Bhubaneswar,ZONE,Kantia
Allahabad,Allahabad,ZONE,Soron
Patna,Kankarbagh,ZONE,Kumhrar
Chittoor,Chittoor,ZONE,Mallakunta
Chittoor,Chittoor,ZONE,Korlagunta
Aurangabad (BH),Aurangabad (BH),ZONE,Khairadip
Bilaspur,Bilaspur,ZONE,Deorikhurd
Chittoor,Chittoor,ZONE,Karipakam
Mumbai,Goregaon,ZONE,Goregaon East
Surat,Varaccha,ZONE,Nawabwadi
Ranchi,Ranchi,ZONE,Belwadag
Mysore,Mysore,ZONE,Maralur
Mysore,Mysore,ZONE,Hosa Alagodu
Delhi,Patparganj,ZONE,Mayur Vihar Ph-II
Guntur,Guntur,ZONE,Narasimhapuri
Erode,Erode,ZONE,Kandappagoundenvalasu
Karur,Karur,ZONE,Karunellivalasu
Tangerang,Tangerang,ZONE,Ancol Pasir
Gurgaon,Manesar,ZONE,Gurgaon Sector 36B
Singapore,City,ZONE,Bukit Merah
Guntur,Guntur,ZONE,Tallapalle
Bhopal,Old Bhopal,ZONE,Durga Chouk
Mysore,Mysore,ZONE,Hosur Kallahalli
Ernakulam,Tripunithura,ZONE,Udayamperoor
Bhopal,South Bhopal,ZONE,Indus Towne
East Khasi Hills,Shillong-East Khasi Hills,ZONE,Ichamati
East Khasi Hills,Shillong-East Khasi Hills,ZONE,Jaiaw
Chittoor,Chittoor,ZONE,Beerangi Kothakota
Bhopal,Central Bhopal,ZONE,M.A.C.T.
Bhopal,Old Bhopal,ZONE,Shahajahanabad
Dantewada,Dantewada,ZONE,Harrakoder
Tiruchirappalli,Tiruchirappalli,ZONE,Vengur
Mysore,Mysore,ZONE,Hebbal Layout
Greater Noida,Greater Noida,ZONE,Kasna
North Goa,North Goa,ZONE,Chimbel
Guntur,Guntur,ZONE,Enugupalem
Jakarta,Setiabudi/Tebet/Kuningan,ZONE,Menteng Dalam
Hooghly,Hooghly,ZONE,Dharampur
North 24 Parganas,North 24 Parganas,ZONE,Dhuchnikhali
North 24 Parganas,North 24 Parganas,ZONE,Hasnabad Rampur
North 24 Parganas,North 24 Parganas,ZONE,Ramshankarpur
Erode,Erode,ZONE,Thottiapalayam
Kottayam,Kottayam,ZONE,Kiliroor North
Gurgaon,Manesar,ZONE,Gurgaon Sector 105
South Tangerang,South Tangerang,ZONE,Benda Baru
Las Pinas,Las Pinas Region,ZONE,Tunasan
Tirunelveli,Tirunelveli,ZONE,Melailanthaikulam
Chittoor,Chittoor,ZONE,Ctr Market
Kolkata,Bhowanipore,ZONE,Southern Market
Makati,Makati Region,ZONE,East Rembo
Ghaziabad,Vaishali,ZONE,Vaishali
Mumbai,Parel,ZONE,Lower Parel
Jaipur,C Scheme,ZONE,Panch Batti
Salem,Salem,ZONE,Chinnanur
Salem,Salem,ZONE,Chinnatirupathy
Bilaspur,Bilaspur,ZONE,Pandhi
Chittoor,Chittoor,ZONE,Mahal
Hooghly,Hooghly,ZONE,Batanal
Jaipur,C Scheme,ZONE,S.M.S.Hospital
Jaipur,Malviya Nagar,ZONE,Pratap Nagar Housing Board
Erode,Erode,ZONE,Pethampalayam
Singapore,City,ZONE,Tiong Bahru
Mysore,Mysore,ZONE,Kuvempunagar
Ranchi,Ranchi,ZONE,Bansiya
